online_order,book_table,votes,location,rest_type,cost,type,rate
1,1,775,1,24,800.0,0,4.1
1,0,787,1,24,800.0,0,4.1
1,0,918,1,19,800.0,0,3.8
0,0,88,1,73,300.0,0,3.7
0,0,166,4,24,600.0,0,3.8
1,0,286,4,24,600.0,0,3.8
0,0,8,56,24,800.0,0,3.6
1,1,2556,1,26,600.0,1,4.6
1,0,324,1,16,700.0,1,4.0
1,0,504,1,16,550.0,1,4.2
1,0,402,1,16,500.0,1,4.1
1,1,150,1,16,600.0,1,4.2
1,1,164,1,16,500.0,1,4.2
0,0,424,1,16,450.0,1,4.0
1,0,918,1,19,800.0,1,3.8
1,0,90,1,16,650.0,1,3.8
1,0,133,1,16,800.0,1,3.9
1,0,144,1,16,700.0,1,3.8
0,0,93,1,16,300.0,1,3.9
1,0,13,1,16,400.0,1,3.1
1,0,62,1,16,400.0,1,3.0
1,0,180,1,16,500.0,1,3.7
0,0,28,1,16,900.0,1,3.6
1,0,62,1,76,600.0,1,3.6
0,0,31,1,16,300.0,1,3.7
0,0,11,1,16,600.0,1,3.2
1,0,75,1,23,200.0,1,3.8
0,0,4,1,16,500.0,1,3.3
0,0,23,1,16,550.0,1,3.3
0,0,148,4,26,550.0,1,3.8
1,0,219,4,16,600.0,1,4.0
1,0,506,1,73,500.0,2,2.8
1,0,35,1,36,500.0,2,3.9
1,0,172,1,36,750.0,2,3.9
1,0,415,1,73,500.0,2,4.2
1,0,230,1,36,650.0,2,3.9
1,0,91,1,73,400.0,2,2.8
1,0,1647,1,24,600.0,2,4.2
1,0,4884,31,24,750.0,2,4.4
1,0,17,1,73,150.0,2,4.0
1,0,133,4,73,200.0,2,3.8
0,0,28,1,62,300.0,2,3.9
1,0,286,1,73,500.0,2,3.9
1,0,540,1,73,800.0,2,3.9
1,1,2556,1,26,600.0,2,4.6
0,0,36,1,36,400.0,2,3.8
1,0,244,48,73,300.0,2,3.6
1,0,804,48,24,450.0,2,4.0
1,0,679,67,24,850.0,2,3.7
1,0,245,48,73,300.0,2,3.1
0,0,21,1,73,450.0,2,3.7
1,0,28,86,73,150.0,2,4.1
0,0,345,1,37,400.0,2,4.3
1,0,618,31,24,750.0,2,4.0
0,0,1047,1,73,450.0,2,4.0
1,0,627,1,36,450.0,2,3.9
1,0,104,1,73,300.0,2,3.8
1,1,354,1,24,800.0,2,4.2
0,0,55,1,73,200.0,2,3.6
1,0,17,1,37,400.0,2,3.7
0,0,244,1,24,800.0,2,4.2
1,1,163,48,24,800.0,2,3.6
1,0,58,4,73,150.0,2,3.8
0,1,808,1,24,850.0,2,4.0
0,0,78,1,3,150.0,2,3.7
1,0,1720,4,73,400.0,2,4.1
1,0,34,31,73,100.0,2,3.6
0,0,868,1,68,1200.0,2,4.1
0,0,39,1,0,300.0,2,3.8
1,0,71,4,73,600.0,2,3.2
1,0,6,1,86,500.0,2,3.6
0,0,520,1,73,300.0,2,4.1
0,0,84,1,36,700.0,2,2.9
0,0,299,1,73,300.0,2,3.6
1,0,558,4,73,150.0,2,4.1
1,0,28,1,73,300.0,2,3.6
0,0,22,1,73,500.0,2,3.7
0,0,39,1,73,350.0,2,3.8
1,0,153,86,46,500.0,2,3.8
1,0,146,1,11,400.0,2,4.2
0,0,14,1,83,200.0,2,3.5
0,0,42,1,24,700.0,2,3.8
0,0,66,1,0,300.0,2,4.0
1,0,4401,31,24,600.0,2,4.4
0,0,31,1,73,200.0,2,3.5
0,0,7,1,37,500.0,2,3.5
0,0,21,1,73,250.0,2,3.7
0,0,9,1,37,300.0,2,3.2
0,0,283,1,24,600.0,2,2.6
0,0,62,1,6,800.0,2,3.3
0,0,64,1,73,250.0,2,3.8
0,0,39,1,24,950.0,2,3.7
0,0,65,1,73,300.0,2,3.7
1,0,71,4,37,400.0,2,3.8
0,0,52,1,73,300.0,2,3.5
0,0,130,1,73,200.0,2,3.7
0,0,10,1,73,300.0,2,3.5
0,0,45,1,86,400.0,2,3.8
0,0,11,1,16,600.0,2,3.2
0,0,13,1,0,300.0,2,3.5
0,0,8,1,73,300.0,2,3.4
0,0,9,1,73,300.0,2,3.2
0,0,4,1,73,300.0,2,3.2
0,0,29,1,73,150.0,2,3.1
0,0,8,1,0,400.0,2,3.4
0,0,30,1,6,1000.0,2,3.1
1,0,201,1,73,300.0,2,4.1
0,0,7,1,73,200.0,2,3.3
0,0,6,1,73,100.0,2,3.1
0,0,17,1,73,200.0,2,3.3
